Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200913,MN,84311,38588,15900,13979,4627,688,127,1079,1439,7884,13979,62448,7884,1971,1485,185,90,89,89,35,13,13,65,90,1816,65
20200913,MO,102747,27742,11302,,,,,2055,3082,58566,7459,58236,37050,1705,941,473,,,,,18,61,212,61,1416,226
20200913,MP,60,,,,,,,,,60,,,,2,,,,,,,,,2,,,
20200913,MS,89874,30818,35796,2652,305,1260,,,5496,13547,2652,54767,32455,2697,1220,1250,36,6,84,,,37,64,36,2267,394
20200913,MT,9021,4310,46,,29,1414,,,81,3141,304,5395,3322,135,65,,,,33,,,,37,,,
20200913,NC,184936,82264,33838,,2772,2272,281,,22484,41025,43339,79553,62044,3052,1726,894,,39,40,4,,197,152,272,2451,329
20200913,ND,15577,8430,1124,,250,852,,257,33,4631,,,15577,133,,,,,,,,,133,,,133
20200913,NE,38188,24300,2200,,1500,386,61,,1900,7841,11500,17500,9188,434,341,31,,18,11,0,,12,21,88,296,50
20200913,NH,7696,4999,366,961,209,,,,249,912,961,5823,912,436,400,9,12,4,,,,1,10,12,414,10
20200913,NJ,196634,46775,20690,37936,6425,,,,14489,70319,37936,88379,70319,16031,8554,2841,3169,870,,,,296,301,3169,12561,301
20200913,NM,26761,3850,473,11927,168,8279,,,,2064,11927,12770,2064,823,173,7,159,2,404,,,,78,159,586,78
20200913,NV,73537,15018,4556,23463,4064,288,,,6274,19874,23463,30200,19874,1452,477,110,212,112,8,,,10,523,212,717,523
20200913,NY,444365,,,,,,,,,444365,,,,28641,8777,6437,6777,1714,,,,1854,3082,6777,18782,3082
20200913,OH,137405,75220,28949,,3477,177,187,4162,9147,16086,8463,98148,30794,4415,3417,815,,46,3,2,59,27,46,95,4241,79
20200913,OK,69354,38827,4819,,2454,6713,,,2747,13794,12356,39762,17236,905,654,55,,21,88,,,29,58,61,714,130
20200913,OR,29337,11646,983,,827,718,549,525,10091,3998,11563,13830,3944,509,323,12,,19,11,7,8,50,79,65,340,104
20200913,PA,143881,52533,19258,,2269,,,,2854,66967,11960,35922,95999,7837,5664,1634,,165,,,,374,0,464,7373,0
20200913,PR,37380,,,,,,,,,37380,,,,539,,,,,,,,,539,,,
20200913,RI,22905,6326,2126,7807,342,70,0,143,288,5803,7807,9295,5803,1071,701,54,102,12,1,0,0,0,201,102,768,201
20200913,SC,131864,48735,34741,,1228,,,,8675,38485,10556,66498,54810,3064,1465,1072,,22,,,,80,425,99,2221,744
20200913,SD,16638,9566,1198,1459,769,2064,,,1582,0,1459,15179,0,184,114,2,6,5,42,,,15,0,6,178,0
20200913,TN,171824,89903,32340,,1541,229,132,,22157,25522,23983,111084,36757,2078,1350,589,,20,4,2,,96,17,134,1931,13
20200913,TX,659434,14529,8143,19961,771,,,,225,615805,19961,23668,615805,14190,4281,1620,7929,275,,,,78,7,7929,6254,7
20200913,UT,57875,25686,1268,20133,1341,1126,2364,,6607,6053,20133,31689,6053,433,224,7,97,23,34,23,,35,22,97,314,22
20200913,VA,133814,36441,26553,32448,3977,163,,894,3197,30141,32448,71225,30141,2724,1459,702,283,136,5,,2,43,94,283,2347,94
20200913,VI,1220,,,,,,,,,1220,,,,19,,,,,,,,,19,,,
20200913,VT,1684,1398,174,,64,2,,,37,9,59,1620,5,58,55,,,2,,,,1,0,0,58,0
20200913,WA,79826,21221,3279,23269,2710,910,1402,1459,1142,24434,23269,32123,24434,1991,1325,66,283,149,53,32,22,40,21,283,1687,21
20200913,WI,94679,63283,10669,,2402,964,,,8283,9078,18074,63533,13072,1218,898,231,,32,14,,,24,19,144,1051,23
20200913,WV,12699,10090,823,,,,2,,1784,0,,,,266,58,3,,,,,,,205,,,
20200913,WY,4346,2269,40,588,29,470,14,,217,854,588,3039,854,42,17,1,2,0,15,,,0,7,2,32,7
